,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
182.0,112074.0,0.0,112170.0,0.0,0.0
183.0,112077.0,0.0,112183.0,0.0,0.0
184.0,112078.0,0.0,112191.0,0.0,0.0
185.0,112079.0,0.0,112204.0,0.0,0.0
186.0,112080.0,0.0,112213.0,0.0,0.0
187.0,112081.0,0.0,112224.0,0.0,0.0
188.0,112084.0,0.0,112251.0,0.0,0.0
189.0,112086.0,0.0,117001.0,0.0,0.0
190.0,112087.0,0.0,117106.0,0.0,0.0
191.0,112090.0,0.0,117113.0,0.0,0.0
192.0,112104.0,0.0,117118.0,0.0,0.0
193.0,112105.0,0.0,0.0,0.0,0.0
194.0,112106.0,0.0,0.0,0.0,0.0
195.0,112109.0,0.0,0.0,0.0,0.0
196.0,112112.0,0.0,0.0,0.0,0.0
197.0,112113.0,0.0,0.0,0.0,0.0
198.0,112117.0,0.0,0.0,0.0,0.0
199.0,112127.0,0.0,0.0,0.0,0.0
200.0,112128.0,0.0,0.0,0.0,0.0
201.0,112130.0,0.0,0.0,0.0,0.0
202.0,112131.0,0.0,0.0,0.0,0.0
203.0,112132.0,0.0,0.0,0.0,0.0
204.0,112134.0,0.0,0.0,0.0,0.0
205.0,112135.0,0.0,0.0,0.0,0.0
206.0,112142.0,0.0,0.0,0.0,0.0
207.0,112143.0,0.0,0.0,0.0,0.0
208.0,112146.0,0.0,0.0,0.0,0.0
209.0,112147.0,0.0,0.0,0.0,0.0
210.0,112148.0,0.0,0.0,0.0,0.0
211.0,112149.0,0.0,0.0,0.0,0.0
212.0,112155.0,0.0,0.0,0.0,0.0
213.0,112156.0,0.0,0.0,0.0,0.0
214.0,112159.0,0.0,0.0,0.0,0.0
215.0,112166.0,0.0,0.0,0.0,0.0
216.0,112167.0,0.0,0.0,0.0,0.0
217.0,112168.0,0.0,0.0,0.0,0.0
218.0,112169.0,0.0,0.0,0.0,0.0
219.0,112173.0,0.0,0.0,0.0,0.0
220.0,112182.0,0.0,0.0,0.0,0.0
221.0,112184.0,0.0,0.0,0.0,0.0
222.0,112185.0,0.0,0.0,0.0,0.0
223.0,112186.0,0.0,0.0,0.0,0.0
224.0,112187.0,0.0,0.0,0.0,0.0
225.0,112188.0,0.0,0.0,0.0,0.0
226.0,112193.0,0.0,0.0,0.0,0.0
227.0,112194.0,0.0,0.0,0.0,0.0
228.0,112195.0,0.0,0.0,0.0,0.0
229.0,112199.0,0.0,0.0,0.0,0.0
230.0,112200.0,0.0,0.0,0.0,0.0
231.0,112201.0,0.0,0.0,0.0,0.0
232.0,112208.0,0.0,0.0,0.0,0.0
233.0,112209.0,0.0,0.0,0.0,0.0
234.0,112222.0,0.0,0.0,0.0,0.0
235.0,112225.0,0.0,0.0,0.0,0.0
236.0,112229.0,0.0,0.0,0.0,0.0
237.0,112230.0,0.0,0.0,0.0,0.0
