,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
59,-0.473865569,-3.186124563,-2.225213528,-0.010840475,-4.452992916
60,-0.059313096,-3.572204351,-2.252004862,0.017495805,-4.421568394
61,-0.234525487,-2.505216599,-2.118988276,-0.336920083,-4.49452877
62,0.302731574,-2.501884937,-1.765165448,-0.144903526,-4.671342373
63,0.270047158,-2.491600513,-1.661990166,-0.183873013,-4.492325783
64,-0.248407602,-2.650555372,-2.106895208,-0.728870153,-4.541155338
65,0.341335207,-2.467263937,-2.254396439,-0.838094831,-4.385411739
66,0.162717387,-1.85894084,-2.471102953,-0.857951403,-4.178105831
67,0.970529437,-1.733543396,-1.927458763,-0.867418647,-4.60467577
68,1.204589844,-0.758281827,-0.538708568,-1.183591604,-3.969107389
69,1.034801841,-0.532422066,0.573178053,-2.032324553,-3.672975302
70,1.494805813,-0.913798153,0.168763235,-2.475419521,-3.829941034
71,1.569538355,-3.62483716,-0.269542068,-2.422710419,-3.850689888
72,-0.975672245,-4.402439117,-2.186829805,-3.300074816,-4.624392986
73,-2.150101185,-3.856118202,-3.682342052,-3.853141546,-4.851914883
74,-3.383518934,-4.107086658,-3.698454618,-4.266030788,-5.057243824
75,-3.023172855,-4.648413181,-3.947583675,-4.161559582,-5.088268757
76,-3.64925456,-4.318597794,-4.082273483,-4.740354538,-5.108209133
77,-3.162026405,-4.067337036,-3.670346737,-4.097206593,-5.035728931
78,-1.598665118,-3.258349419,-3.318116188,-3.765862942,-4.606911182
79,-0.591085792,-2.104219913,-2.672550917,-2.90060997,-4.538486004
80,-0.384753823,-2.325145006,-2.503584385,-1.943762422,-4.438995361
81,-0.46524179,-2.731529236,-2.466524601,-1.829852343,-4.689641953
82,-0.047806863,-3.027643204,-1.921539545,-1.043021202,-4.595150948
83,0.051211163,-2.492932796,-2.549745798,-1.476716757,-4.675516605
84,-0.284573734,-1.619560838,-1.797469854,-1.390239716,-4.379476547
85,0.12299078,-1.831968665,-1.743197918,-0.618791282,-4.293988705
86,-0.238292471,-2.921296597,-1.311162591,-0.844569623,-4.287642956
87,0.231609926,-3.013392687,-1.338032961,-1.021776915,-4.214504719
88,0.981481075,-2.728935242,-1.404003382,-1.001125097,-4.633481979
89,0.336789876,-2.721959352,-1.783016205,-0.796499074,-4.69953537
90,0.582204759,-2.37092042,-1.40311265,-1.224234343,-4.540906906
91,0.656243622,-1.964191079,-1.33326292,-1.384065151,-4.434612751
92,1.505043626,-1.242704153,-0.284910679,-1.633371711,-3.80494523
93,1.729326129,-1.115205884,0.548564851,-1.77365911,-3.747230768
94,2.329661608,-0.666805506,0.283482432,-2.349174738,-3.651756048
95,1.89650023,-1.232430816,-1.13506937,-2.242618561,-3.781933069
96,-0.058595564,-2.921296358,-1.6742239,-3.651128531,-4.439727783
97,-1.672876954,-3.747462273,-3.170069456,-4.208446026,-5.2502985
98,-3.179740906,-4.302743912,-3.782233238,-4.687084198,-5.340274334
99,-3.546123743,-4.033438683,-4.110385418,-4.907452106,-5.197292805
100,-3.274483442,-4.485020638,-4.301406384,-4.699849129,-5.476994991
101,-2.865291357,-4.605748177,-3.757047892,-4.038768291,-4.29773283
102,-1.993832469,-3.317248344,-3.492326975,-3.196332216,-4.654109955
103,-0.017154058,-2.805059671,-2.149956465,-2.652840853,-4.419367313
104,0.201106563,-2.206942797,-2.87621069,-1.947021246,-3.653832674
105,0.748392045,-2.71271944,-2.317020416,-1.604398489,-4.157593727
106,0.128699124,-2.629180908,-2.274137735,-2.308760405,-4.297257423
107,0.072186314,-2.39030695,-2.370860577,-2.149182796,-4.285027981
108,0.323371559,-1.47030437,-2.310373306,-1.922968388,-4.075667381
109,0.695394576,-2.581159592,-1.8729738,-1.743766308,-3.945291519
110,0.973112583,-2.276695728,-1.865072489,-0.992908359,-4.455403805
111,1.176317096,-2.027442455,-1.858703375,-0.988667965,-4.332466125
112,0.237134397,-2.685938597,-1.137300491,-1.571699023,-4.361600399
113,0.648017228,-2.567850113,-1.25467658,-1.241856217,-4.256073952
114,-0.341509372,-2.945192099,-1.410336614,-1.651238084,-4.205117226
115,0.148607299,-2.022911787,-1.325904608,-1.47441721,-4.073072433
116,0.129735976,-2.004434586,-0.743727863,-2.13167572,-4.266264915
117,-0.817050338,-2.570645332,-1.508577347,-2.889000893,-4.325583935
118,0.55652827,-2.197359562,-0.163985088,-1.471192598,-3.758098602
119,1.50041306,-2.633616209,-1.002213597,-1.987617373,-4.573386192
120,-0.413270116,-4.247851849,-1.914845109,-2.919131517,-4.533960342
121,-3.030925989,-4.732161045,-3.157636166,-3.745033026,-5.088629723
122,-2.90651226,-4.838120937,-4.029533863,-4.56446743,-4.920956612
123,-4.075972557,-5.175310135,-4.333812237,-4.275759697,-4.889668465
124,-3.544589996,-4.922736168,-4.412762165,-4.221077919,-4.795721531
125,-3.342248917,-4.861597061,-3.992384672,-4.532065868,-5.044169903
