,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
63,-1.822343111,-3.872525692,-0.500711203,-2.422848701,0.665985763
64,-2.093252182,-3.606273413,-0.530637443,-2.409348249,0.345115989
65,-1.764929295,-3.977285385,-0.286993712,-2.531218767,0.278614342
66,-1.807400942,-3.706213236,0.421176255,-2.680720568,-0.359270334
67,-1.20039773,-3.592724323,0.105303176,-1.921776891,-0.082615741
68,-0.062794209,-3.325217724,0.220861048,-1.101114511,0.501308858
69,0.952188253,-3.131174803,0.56232965,-1.369012833,0.582333565
70,0.439675152,-2.587479591,1.15717268,-0.823962033,0.85604459
71,-0.532080054,-3.74411869,1.072479963,-2.755647659,-1.21206665
72,-2.310728312,-4.186635494,-1.013558388,-3.943384886,-3.36337328
73,-3.719345331,-4.822636604,-1.861176133,-3.663794994,-4.034508228
74,-4.234011173,-5.181155205,-2.969368458,-4.143140793,-4.412256241
75,-4.330142498,-5.07694149,-3.58412528,-4.290700436,-4.473880291
76,-4.193178654,-5.304270267,-4.164521694,-4.573414326,-4.663775921
77,-4.015812874,-5.11196661,-3.654748917,-4.661445618,-4.265932083
78,-3.732185364,-4.268733501,-1.938030839,-3.910299778,-3.765740395
79,-2.741491318,-4.602797508,-0.994804084,-2.654689312,-2.534900665
80,-2.102794409,-3.809188843,-0.780238628,-2.75241065,-1.349874139
81,-2.131154299,-4.208660603,-0.666695595,-3.326232672,-0.989912331
82,-2.250873566,-4.340955257,-0.838200927,-3.445039272,-1.43632853
83,-2.515121937,-4.05982399,-0.579416573,-2.648475647,-1.963212609
84,-1.877596974,-4.044886589,-1.053929329,-2.882157087,-1.969746351
85,-1.348350763,-3.960246325,-0.86794579,-2.587938309,-1.665092111
86,-1.81648922,-3.919237852,-0.563907027,-2.474715471,-1.583743572
87,-1.91406405,-4.175323486,-0.314314157,-3.099617481,-0.868044972
88,-2.065366268,-3.907108784,0.259579867,-2.612582684,-0.245409653
89,-1.694102883,-3.683474064,0.145262301,-2.857129097,0.444127172
90,-1.285992384,-3.913746357,0.230167314,-2.906284571,-0.380517423
91,-0.557107389,-3.503997803,0.297334254,-2.177820444,-0.432338357
92,-0.022290707,-3.075279236,0.591512442,-1.37808013,-0.418665767
93,1.007426977,-2.982375383,0.5126248,-0.977969646,0.644041717
94,0.977270544,-2.760659695,1.637500167,-0.656385481,1.278343439
95,-0.338072717,-2.999025106,2.198065281,-1.373246312,0.095065624
96,-1.824218035,-4.288673878,0.633794248,-2.595831394,-2.223783016
97,-3.729130507,-4.901841164,-2.228333473,-4.675836086,-4.036307335
98,-3.932312489,-5.116493225,-3.242378235,-4.726518154,-4.556270599
99,-4.555038452,-4.934380054,-3.075094938,-4.550975323,-4.694999218
100,-4.207721233,-5.20546627,-3.513326883,-4.739593029,-4.800055027
101,-3.512100935,-5.07235527,-3.423847675,-4.193862438,-4.130083084
102,-3.584944725,-4.56195116,-2.402675629,-4.013103962,-4.09814167
103,-2.166027546,-4.594956398,-0.632743359,-3.185129642,-3.125871658
104,-2.092788935,-3.904515028,-0.201700568,-3.521580458,-2.180794954
105,-1.899293303,-3.616562605,-0.33459416,-3.566266298,-1.498507261
106,-1.669865727,-4.175745487,-0.33048439,-3.820150614,-1.087152481
107,-1.823271036,-3.97642231,-0.100076534,-3.764047861,-1.609992027
108,-1.4985919,-3.96980238,0.120033711,-3.669487,-1.749925852
109,-1.606114745,-3.371222019,-0.137195766,-3.520066023,-1.233816266
110,-1.288208008,-3.30850029,-0.055064559,-3.385890961,-0.510546446
111,-1.388249993,-3.66567564,-0.268496752,-3.553989649,-0.343349993
112,-0.966097653,-4.132781029,-0.544848919,-2.953781366,-0.240898475
113,-1.237269878,-3.86056757,-0.556609333,-3.163225889,0.056941856
114,-0.605891824,-4.240291595,-0.556749701,-3.2800951,-0.221675932
115,-0.754540086,-4.115027905,-0.234897971,-1.770691872,-0.679634035
116,-0.424691379,-4.069259644,-0.030840918,-1.5651474,-1.068404794
117,-1.841685414,-4.292606831,-0.809895933,-2.236572742,-2.017001629
118,0.72246033,-3.495667219,1.017473817,-0.580650151,-0.058369052
119,-1.003455043,-3.474909544,0.821095467,-0.944959342,-1.656417966
120,-2.297073841,-4.430366039,-0.649572372,-3.368117332,-2.478612185
121,-3.322774649,-5.131510258,-2.448596239,-4.36173439,-3.705873251
122,-4.167452812,-4.94756794,-3.250565529,-4.630462646,-4.29381609
123,-4.639318943,-5.008989334,-3.897584915,-4.805459976,-4.610150814
124,-4.314036369,-5.045440197,-3.724988937,-4.669486046,-4.354162693
125,-4.467425823,-5.106447697,-3.056130648,-4.431030273,-4.460785389
126,-3.546385288,-4.630195141,-2.661885977,-3.930979967,-3.804013491
127,-2.469689846,-4.380260468,-1.111897469,-3.17000556,-1.838827968
128,-2.472321987,-4.614374161,-1.207861066,-3.177410841,-1.478146911
129,-2.689050674,-4.523542881,-1.712011576,-2.766938686,-1.003644705
130,-2.431622982,-4.535075188,-1.76156342,-3.116440535,-0.657747865
131,-2.242899418,-3.845554829,-1.877928376,-2.944203377,0.500850677
132,-2.121929646,-3.798196793,-1.525898695,-3.132614851,0.650659621
133,-2.085009336,-4.014321804,-1.192203522,-3.500941753,0.692034543
